VC Name,Kontaktperson,E-Mail,LinkedIn,Website,Bewerbungsformular,Fokus-Bereiche,Ticket Size,Priorität,Notizen
High-Tech Gründerfonds (HTGF),Investment Team,info@htgf.de,https://linkedin.com/company/high-tech-gruenderfonds,https://www.htgf.de/,https://www.htgf.de/en/application/,"Industrial Tech, AI, Deep Tech, Climate Tech",€1M (Seed) - €30M (Folgerunden),A,Staatlicher Seed-Investor - 780+ Startups finanziert - Perfekter Fit für Industrie 4.0
UVC Partners,Investment Team,office@uvcpartners.com,https://linkedin.com/company/uvc-partners,https://www.uvcpartners.com/,https://www.uvcpartners.com/contact/,"Enterprise Software, Industrial Technologies, Mobility",€0.5M - €10M initial,A,München/Berlin - Industrial Tech Spezialist
Point Nine Capital,Christoph Janz / Pawel Chudzinski,team@pointnine.com,https://linkedin.com/company/point-nine-capital,https://www.pointnine.com/,https://bit.ly/3Oh7MoB,"B2B SaaS, B2B Marketplaces",€0.5M - €3.5M,A,Berlin/London/Zürich - B2B SaaS Pionier - Pitch Deck direkt über Formular
NRW.BANK Venture Fonds,Investment Team,venture@nrwbank.de,https://linkedin.com/company/nrw-bank,https://www.nrwbank.de/,https://www.nrwbank.de/,"Climate Tech, KI, Enterprise Software, Robotics, Digitalisierung",bis €15M,A,Staatlicher Fonds - NRW-fokussiert aber bundesweit aktiv
LBBW Venture Capital,Investment Team,venture-capital@lbbw.de,https://linkedin.com/company/lbbw,https://www.lbbw-vc.de/,https://www.lbbw-vc.de/kontakt/,"IoT, Industry 4.0, AI/ML, Big Data",bis €3M (Seed/Series A),A,Baden-Württemberg-Fokus - Bank-backed VC
Paua Ventures,Investment Team,hello@paua.vc,https://linkedin.com/company/paua-ventures,https://paua.vc/,https://paua.vc/,"Early Stage B2B Tech",€0.5M - €5M,A,Berlin - Ausschließlich B2B - Early investor in Pipedrive
Senovo,Investment Team,Siehe Website,https://linkedin.com/company/senovo,https://www.senovo.vc/,E-Mails auf Website,"B2B SaaS, Deep Tech",€0.5M - €3M,A,Persönlicher Kontakt betont - Team-E-Mails öffentlich
Fly Ventures,Investment Team,hello@fly.vc,https://linkedin.com/company/fly-ventures,https://www.fly.vc/,https://www.fly.vc/founders/,"Deep Tech, Automation, AI",€500K - €3M,A,Berlin - Datengetriebener VC für Industrie-Transformation
Project A Ventures,Investment Team,contact@project-a.com,https://linkedin.com/company/project-a-ventures,https://www.project-a.com/,https://www.project-a.com/,"AI, eCommerce, FinTech, HealthTech",$1M - $10M,B,Berlin - Pre-Seed bis Series D - Operativer Support
Motu Ventures,Investment Team,hello@motu.vc,https://linkedin.com/company/motu-ventures,https://www.motu.vc/,https://www.motu.vc/,"Lean Startups, First-Round",€500K - €2M,B,Berlin Seed Fund - Lean Startup Spezialist
SaaSgarage,Investment Team,info@saasgarage.vc,https://linkedin.com/company/saasgarage,https://www.saasgarage.com/,Kontaktformular Website,"Pre-Seed Angel Fund, SaaS",€50K - €500K,B,Pre-Seed Angel Fund - Value-Add Mentoring
Cherry Ventures,Investment Team,hello@cherry.vc,https://linkedin.com/company/cherry-ventures,https://cherry.vc/,https://cherry.vc/apply/,"Early Stage B2B",€1M - €10M,B,Berlin - Einer der aktivsten Early Stage VCs
Earlybird,Investment Team,info@earlybird.com,https://linkedin.com/company/earlybird-venture-capital,https://www.earlybird.com/,https://www.earlybird.com/,"Series A/B Leader",€2M - €15M,B,Berlin/München - Established Series A Leader
HV Capital,Investment Team,info@hvcapital.com,https://linkedin.com/company/hv-capital,https://hvcapital.com/,https://hvcapital.com/,"Scale-up Fokus",€5M - €50M,C,München - Eher für spätere Stages (Series A+)
Siemens Next47,Investment Team,next47@siemens.com,https://linkedin.com/company/next47,https://next47.com/,https://next47.com/contact/,"Industry 4.0, Smart Manufacturing",€1M - €20M,A,Corporate VC - Strategischer Partner für Industrie 4.0
Bosch Ventures,Investment Team,bosch.ventures@bosch.com,https://linkedin.com/company/robert-bosch-venture-capital,https://www.bosch-ventures.com/,https://www.bosch-ventures.com/contact/,"Climate Tech, Industrial IoT",€1M - €20M,A,Corporate VC - Perfect strategic fit für Smart Factory
SAP.iO,Investment Team,sap.io@sap.com,https://linkedin.com/company/sap-io,https://sap.io/,https://sap.io/,"Enterprise Software, B2B SaaS",Accelerator + Funding,B,Corporate Accelerator - SAP-Integration möglich
BMW i Ventures,Investment Team,info@bmwiventures.com,https://linkedin.com/company/bmw-i-ventures,https://www.bmw-i-ventures.com/,https://www.bmw-i-ventures.com/contact/,"Mobility, Smart Technologies",€2M - €20M,B,Corporate VC - Mobility & Smart Tech Fokus
Technologiegründerfonds Sachsen (TGFS),Investment Team,info@tgfs.de,https://linkedin.com/company/tgfs,https://www.tgfs.de/,https://www.tgfs.de/bewerbung/,"Software, Industrie 4.0, IoT, Big Data",bis €5M,A,Sachsen - Software & Industrie 4.0 Fokus
Bayern Kapital,Investment Team,info@bayernkapital.de,https://linkedin.com/company/bayern-kapital,https://www.bayernkapital.de/,https://www.bayernkapital.de/,"Tech Startups in Bayern",€500K - €5M,B,Bayern - Beteiligungsprogramm mit Fokus Bayern
415 Capital,Investment Team,info@415capital.com,https://linkedin.com/company/415-capital,https://415capital.com/,Kontakt via Website,"Early Stage VC",€500K - €3M,B,Oberhaching - Early Stage Generalist
Abacus Alpha,Investment Team,info@ab-alpha.de,https://linkedin.com/company/abacus-alpha,https://ab-alpha.de/,Kontakt via Website,"Early Stage VC, PE",€1M - €10M,B,Frankental - Early Stage & PE
