ID,Name,Amount,CloseDate,CreatedDate,Pipeline
"428961766642","S-Class: Precision Linz Solutions #WFRSA7WUSS",4547409,"2026-01-11T17:58:07.837Z","2026-01-09T17:13:28.364Z","default"
"428703621342","S-Class: NextSolutions #6DTGE7VZPR",4545462,"2026-01-11T16:01:38.480Z","2026-01-09T16:03:15.739Z","default"
"428982284508","S-Class: Namur Logistics #OFL7MSYQQB",4544244,"2026-01-11T15:50:52.299Z","2026-01-09T18:03:22.006Z","default"
"428805773498","S-Class: Mega Infrastructure #4MQSB5O7I9",4544143,"2026-01-11T17:53:29.248Z","2026-01-09T17:02:34.550Z","default"
"428908804339","S-Class: WorldServices Luzern #6BJRPTZKXL",4543394,"2026-01-11T15:51:03.069Z","2026-01-09T17:29:57.492Z","default"
"428896228582","S-Class: Lüttich Cargo #JPSTOZXZJA",4543287,"2026-01-11T15:51:01.434Z","2026-01-09T17:39:05.110Z","default"
"428807482606","S-Class: Bonn Systems #BIIBXRR33U",4542457,"2026-01-11T15:57:15.830Z","2026-01-09T16:27:43.858Z","default"
"428991296725","S-Class: FastTransport Gent #2TX2YYVE97",4541104,"2026-01-11T15:59:15.730Z","2026-01-09T17:48:44.890Z","default"
"428980290807","S-Class: Dynamic Dornbirn Construction #SXGB10XDBN",4540644,"2026-01-11T15:59:04.791Z","2026-01-09T16:53:43.032Z","default"
"428928409795","S-Class: Bern Cargo #JHJHZDIIYF",4539959,"2026-01-11T16:01:18.913Z","2026-01-09T16:17:59.165Z","default"
"428917775603","S-Class: Credit Management #WAHDTWBTD4",4539417,"2026-01-11T15:59:22.722Z","2026-01-09T17:12:39.050Z","default"
"428963664095","S-Class: Neo Innovations #MNJ62P16SO",4539394,"2026-01-11T16:01:39.817Z","2026-01-09T17:44:37.277Z","default"
"428993108171","S-Class: Express Esch-sur-Alzette Distribution #N7TY453HG4",4539328,"2026-01-11T16:13:04.618Z","2026-01-09T18:09:50.517Z","default"
"428905029848","S-Class: Mall München Market #EBPAU556HY",4538770,"2026-01-11T16:03:28.354Z","2026-01-09T16:25:51.350Z","default"
"428993149145","S-Class: EcoSolutions Esch-sur-Alzette #ODMISBEK59",4537721,"2026-01-11T16:01:22.101Z","2026-01-09T18:26:25.275Z","default"
"428813021373","S-Class: SolarResources #NUR4KVDGVA",4537286,"2026-01-11T16:03:27.400Z","2026-01-09T17:14:16.326Z","default"
"428933827805","S-Class: Nijmegen Inn #JISQCTF2QU",4537005,"2026-01-11T16:07:53.807Z","2026-01-09T18:43:54.491Z","default"
"428953038054","S-Class: Capital Holdings #915JZJ4T7K",4536851,"2026-01-11T16:03:28.040Z","2026-01-09T18:35:22.668Z","default"
"428901634273","S-Class: UnitedFactory #LV7IRBQXJ2",4536485,"2026-01-11T16:05:29.010Z","2026-01-09T17:24:18.042Z","default"
"428896250103","S-Class: DataSystems #WJ50S5K2U1",4535955,"2026-01-11T16:05:39.415Z","2026-01-09T17:44:31.828Z","default"
"428912244936","S-Class: Solar Bremen Resources #QUBFBZLZW7",4535697,"2026-01-11T16:05:28.688Z","2026-01-09T16:33:31.611Z","default"
"428917866690","S-Class: Differdange Tech #BK6UOHOWGW",4535347,"2026-01-11T16:08:37.046Z","2026-01-09T17:41:55.665Z","default"
"428989335773","S-Class: FinanceCapital #J4EPCSZUMA",4535126,"2026-01-11T16:09:45.831Z","2026-01-09T17:12:03.007Z","default"
"428894640320","S-Class: TransShipping Eindhoven #PK8I44GSTE",4534537,"2026-01-11T16:10:01.082Z","2026-01-09T18:35:50.585Z","default"
"428996574415","S-Class: Energy Basel Energy #H18MMDSOGX",4533825,"2026-01-11T16:08:40.565Z","2026-01-09T17:29:31.287Z","default"
"428928880889","S-Class: GreenSolutions Nijmegen #HGADDJQIY1",4533281,"2026-01-11T16:08:57.284Z","2026-01-09T18:49:35.708Z","default"
"429001951448","S-Class: Crown Helsingborg Properties #FREKSAMNDT",4532460,"2026-01-11T16:08:57.591Z","2026-01-09T19:40:36.443Z","default"
"428926797032","S-Class: Grand Hotels #99IBCMAC43",4531503,"2026-01-11T16:15:08.628Z","2026-01-09T17:29:42.132Z","default"
"428813101304","S-Class: EliteWorks #FSYJ34M7V8",4530527,"2026-01-11T16:19:17.693Z","2026-01-09T17:34:58.510Z","default"
"428925250778","S-Class: Fast Dudelange Express #T55C7P6GOX",4530367,"2026-01-11T16:15:02.259Z","2026-01-09T18:31:58.112Z","default"
"428809205952","S-Class: Golden Living #XB5RSL3VPR",4530285,"2026-01-11T16:15:01.222Z","2026-01-09T16:06:13.410Z","default"
"428811565252","S-Class: Vital Group #NNTKOTYRV9",4529452,"2026-01-11T16:19:17.998Z","2026-01-09T18:40:05.049Z","default"
"428952670419","S-Class: Düsseldorf Cargo #NQL27J3HW2",4529351,"2026-01-11T16:15:01.929Z","2026-01-09T16:51:04.137Z","default"
"428812840177","S-Class: UnitedFactory Lausanne #45C6DBZWNQ",4527245,"2026-01-11T16:25:31.105Z","2026-01-09T16:18:36.849Z","default"
"428802120937","S-Class: MetroInvestments Biel #YBDVP5AQRZ",4527238,"2026-01-11T16:19:18.637Z","2026-01-09T16:49:29.836Z","default"
"428903209162","S-Class: Medical Augsburg Clinic #YJTLTP2674",4524406,"2026-01-11T16:19:18.320Z","2026-01-09T16:14:54.587Z","default"
"428930298069","S-Class: CrownRealty Ettelbruck #WODOINRVBU",4524071,"2026-01-11T16:21:20.011Z","2026-01-09T18:33:57.889Z","default"
"428914200805","S-Class: MartMart Duisburg #RJS41SMP99",4523609,"2026-01-11T16:19:19.257Z","2026-01-09T17:21:44.175Z","default"
"428912510155","S-Class: Namur Dynamics #34WPQMDTIB",4522739,"2026-01-11T16:21:19.414Z","2026-01-09T17:46:22.912Z","default"
"428912664815","S-Class: Elite Esch-sur-Alzette Collection #2VQJZPOQWQ",4522448,"2026-01-11T16:25:37.199Z","2026-01-09T18:40:16.081Z","default"
"428928594165","S-Class: Zürich Dynamics #BWX1W169Q6",4521508,"2026-01-11T16:28:43.048Z","2026-01-09T17:15:52.273Z","default"
"428928658645","S-Class: Equity Luxemburg Management #XYRW5Y8RSH",4521000,"2026-01-11T16:23:25.119Z","2026-01-09T17:35:37.528Z","default"
"428912364788","S-Class: Wuppertal Retail #W33HIM1ZG5",4520557,"2026-01-11T16:27:38.525Z","2026-01-09T17:05:15.804Z","default"
"428928731373","S-Class: Green Ettelbruck Solutions #FWYSQZMTCV",4520547,"2026-01-11T16:29:41.170Z","2026-01-09T17:55:23.559Z","default"
"429001785569","S-Class: Next Antwerpen Technologies #PI11ENT5TM",4519852,"2026-01-11T16:25:37.834Z","2026-01-09T18:53:17.279Z","default"
"428926572783","S-Class: CapitalAdvisory Bochum #479DUVF9PI",4519052,"2026-01-11T16:25:38.139Z","2026-01-09T16:04:52.931Z","default"
"428994822352","S-Class: Express Supply #MWJUJ957XL",4518789,"2026-01-11T16:23:26.451Z","2026-01-09T17:36:49.497Z","default"
"428804292800","S-Class: Prime Associates #ALX056H7WD",4517504,"2026-01-11T16:25:37.537Z","2026-01-09T18:36:42.959Z","default"
"428919513285","S-Class: MallShop Mannheim #EPUFALBUCZ",4514111,"2026-01-11T16:27:38.846Z","2026-01-09T16:46:49.215Z","default"
"428983843019","S-Class: Villach Management #GJR3HYMTE2",4513505,"2026-01-11T16:26:58.271Z","2026-01-09T16:37:48.922Z","default"
"428923256010","S-Class: AdvancedInternational #5KNMW1I4WO",4512773,"2026-01-11T16:29:39.861Z","2026-01-09T17:34:57.623Z","default"
"428954986720","S-Class: Kopenhagen Finance #CW5S9U0H46",4511059,"2026-01-11T16:29:40.197Z","2026-01-09T19:18:52.226Z","default"
"428954435794","S-Class: PrimeServices Essen #DQ8N2KP0C0",4510771,"2026-01-11T16:37:12.099Z","2026-01-09T16:38:15.893Z","default"
"428917628143","S-Class: Luzern Solutions #JYG3S26R93",4510497,"2026-01-11T16:29:40.534Z","2026-01-09T16:24:47.552Z","default"
"428963589348","S-Class: CrownInn #7G260XYST9",4510240,"2026-01-11T16:29:40.842Z","2026-01-09T17:18:59.207Z","default"
"428951104718","S-Class: BioGroup Brügge #ONZN258WUW",4509982,"2026-01-11T16:30:53.534Z","2026-01-09T17:52:55.938Z","default"
"428980293826","S-Class: Innsbruck Logic #KBYIJDHZJQ",4509677,"2026-01-11T16:39:05.645Z","2026-01-09T16:54:18.331Z","default"
"428916249810","S-Class: AssetCapital Brüssel #WDDPGO1V7B",4509147,"2026-01-11T16:30:53.212Z","2026-01-09T18:34:46.393Z","default"
"428921349345","S-Class: Zürich Estates #BP70DGF5J8",4508759,"2026-01-11T16:30:53.860Z","2026-01-09T16:55:27.312Z","default"
"428978447552","S-Class: DataTechnologies Bern #TWTQLGUCGH",4508446,"2026-01-11T16:30:54.161Z","2026-01-09T16:45:08.350Z","default"
"428963650788","S-Class: Equity Luxemburg Advisory #X8P1SL38Y7",4507415,"2026-01-11T16:32:51.506Z","2026-01-09T17:41:49.949Z","default"
"428701827268","S-Class: Solar Tech #LFSQ8A51MZ",4507352,"2026-01-11T16:32:47.968Z","2026-01-09T16:04:16.942Z","default"
"428950756572","S-Class: PremiumSystems #ZQ58A884OR",4507074,"2026-01-11T16:41:21.667Z","2026-01-09T16:08:46.485Z","default"
"428807827699","S-Class: EliteResorts Namur #KIZA61WVXD",4506943,"2026-01-11T16:34:57.479Z","2026-01-09T18:26:43.362Z","default"
"428951401693","S-Class: Tech Logic #JPLA7LX3WF",4504368,"2026-01-11T16:43:31.556Z","2026-01-09T19:18:17.911Z","default"
"428956261605","S-Class: Bremen Logic #13K6ACA9A4",4502500,"2026-01-11T16:39:05.967Z","2026-01-09T16:37:57.746Z","default"
"429000301758","S-Class: SmartLabs Roskilde #UUKH2LBWTR",4500723,"2026-01-11T16:45:08.930Z","2026-01-09T19:50:55.186Z","default"
"428914263276","S-Class: Imperial Differdange Living #GUZE3A46R7",4500523,"2026-01-11T16:41:21.976Z","2026-01-09T17:38:14.714Z","default"
"428965753066","S-Class: Global Trondheim Chain #AND0VEBM0S",4500446,"2026-01-11T16:43:03.598Z","2026-01-09T19:09:06.514Z","default"
"428811056377","S-Class: SupremeInfrastructure #EUH5FOHRKH",4500374,"2026-01-11T16:44:57.607Z","2026-01-09T16:19:26.473Z","default"
"428917883077","S-Class: TechDynamics #U9J55J3VK0",4500127,"2026-01-11T16:40:58.261Z","2026-01-09T17:46:12.044Z","default"
"428926582989","S-Class: Elite Solutions #EY2LUDQQ6R",4498084,"2026-01-11T16:43:25.176Z","2026-01-09T16:09:47.767Z","default"
"428978974962","S-Class: Jyväskylä Living #NQUK50IYEX",4497492,"2026-01-11T16:43:25.499Z","2026-01-09T19:16:56.005Z","default"
"428993163482","S-Class: Precision Luxemburg Production #O06MSWQVA9",4496173,"2026-01-11T16:43:16.190Z","2026-01-09T18:29:25.008Z","default"
"428811568317","S-Class: Mechelen Hospitality #I3WU3RKEK4",4496136,"2026-01-11T16:45:03.526Z","2026-01-09T18:40:14.414Z","default"
"428989505728","S-Class: BestCommerce #0C45ZM6R7U",4495294,"2026-01-11T16:55:24.268Z","2026-01-09T18:03:26.766Z","default"
"428812816571","S-Class: Mart Hamburg Outlets #33X8JNETGX",4494661,"2026-01-11T16:49:12.528Z","2026-01-09T16:10:50.786Z","default"
"428962116845","S-Class: Care Den Haag Partners #YSF2P6XMJ2",4493491,"2026-01-11T16:49:06.545Z","2026-01-09T18:49:48.995Z","default"
"428914137334","S-Class: EliteInternational #PXP6BYVNYH",4492213,"2026-01-11T16:55:18.058Z","2026-01-09T16:59:49.779Z","default"
"428926800069","S-Class: Biel Capital #GX6EJPC9XN",4490250,"2026-01-11T16:53:01.252Z","2026-01-09T17:29:59.159Z","default"
"428982281415","S-Class: Energy Resources #JKTB1IV9SU",4489797,"2026-01-11T16:59:23.065Z","2026-01-09T18:03:17.834Z","default"
"428951266493","S-Class: United Systems #X21PL5NOVL",4489716,"2026-01-11T16:53:01.558Z","2026-01-09T18:34:52.700Z","default"
"428978564313","S-Class: StoreRetail St. Pölten #6WNXG49H3I",4488581,"2026-01-11T16:55:10.055Z","2026-01-09T17:18:30.052Z","default"
"428951401662","S-Class: Global Linköping Supply #81CGMJV9M8",4488568,"2026-01-11T16:55:10.357Z","2026-01-09T19:18:17.911Z","default"
"428921245932","S-Class: Dynamic Systems #8SDQC7L4Z2",4486749,"2026-01-11T17:03:50.890Z","2026-01-09T16:24:54.851Z","default"
"428991121606","S-Class: Genf Development #49PMYW5O8I",4485948,"2026-01-11T16:59:22.385Z","2026-01-09T17:01:31.403Z","default"
"428980344000","S-Class: EliteIndustries #W4NZ3TOKXH",4483458,"2026-01-11T17:03:35.027Z","2026-01-09T17:11:40.546Z","default"
"428805917937","S-Class: Tilburg Outlets #P99KK65G7F",4482905,"2026-01-11T17:05:05.043Z","2026-01-09T17:48:41.164Z","default"
"428894255296","S-Class: Vital Innsbruck Systems #KJLWN0X5T4",4482535,"2026-01-11T16:59:44.204Z","2026-01-09T16:33:13.788Z","default"
"428813296839","S-Class: Green Generation #UCMV3N07MX",4480825,"2026-01-11T17:02:52.400Z","2026-01-09T18:37:22.712Z","default"
"428912513269","S-Class: Differdange Power #XVOCSMALYF",4477989,"2026-01-11T17:03:35.336Z","2026-01-09T17:47:27.624Z","default"
"428807508195","S-Class: Ultra Biel Construct #22RFISUUSV",4477586,"2026-01-11T17:03:36.009Z","2026-01-09T16:38:22.905Z","default"
"428987737300","S-Class: Euro Brüssel Services #XY9G6L557J",4477477,"2026-01-11T17:05:05.697Z","2026-01-09T18:19:48.446Z","default"
"428901849309","S-Class: HealthSolutions Rotterdam #E9J4QMCLP8",4477467,"2026-01-11T17:08:54.140Z","2026-01-09T18:20:14.010Z","default"
"428905352424","S-Class: Finance Partners #WZA2Q9S4WM",4476929,"2026-01-11T17:08:52.829Z","2026-01-09T18:07:32.810Z","default"
"428985670853","S-Class: SolarDynamics Lugano #JZTL9PLGCH",4476653,"2026-01-11T17:04:55.295Z","2026-01-09T16:57:03.535Z","default"
"428991612108","S-Class: Mall Outlets #G3GETDM405",4474936,"2026-01-11T17:08:53.186Z","2026-01-09T19:21:00.144Z","default"
"428963657936","S-Class: Mart Rotterdam Chain #G5ESL292RA",4474504,"2026-01-11T17:08:53.494Z","2026-01-09T17:43:19.204Z","default"
"428912732407","S-Class: Esbjerg Group #V36S5ODZE5",4473896,"2026-01-11T17:06:50.253Z","2026-01-09T19:00:25.362Z","default"
"428923570391","S-Class: Mall Groningen Commerce #E4CVDIH1L8",4473632,"2026-01-11T17:08:53.805Z","2026-01-09T18:49:53.779Z","default"
"428901761257","S-Class: Power Corp #GQCDVMZGHA",4473577,"2026-01-11T17:10:45.849Z","2026-01-09T17:59:09.273Z","default"
"428919468259","S-Class: CrownStays Lugano #F0E9BTLYL3",4471912,"2026-01-11T17:12:10.889Z","2026-01-09T16:36:56.251Z","default"
"428903466230","S-Class: Rapid St. Pölten Transport #3YCMK9PXVW",4471745,"2026-01-11T17:12:11.222Z","2026-01-09T17:28:15.980Z","default"
"428921175230","S-Class: StrongConstruction Frankfurt #2331TV8D2M",4470247,"2026-01-11T17:25:37.811Z","2026-01-09T16:05:56.767Z","default"
"428901634291","S-Class: CreditPartners #8BMHWYCW16",4469996,"2026-01-11T17:15:17.935Z","2026-01-09T17:24:18.042Z","default"
"428952962295","S-Class: Prime Groningen Associates #TSP7ITAZ2G",4466271,"2026-01-11T17:19:11.467Z","2026-01-09T18:14:23.331Z","default"
"428804146424","S-Class: Shop Mart #E48PJNGO97",4466035,"2026-01-11T17:19:11.793Z","2026-01-09T17:43:26.707Z","default"
"428812893416","S-Class: Elite International #QF59K7JDY6",4465990,"2026-01-11T17:25:37.191Z","2026-01-09T16:39:11.323Z","default"
